Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
532395,Axiscades Technologies Ltd,Jupiter Capital Private Limited,Promoter,Equity Shares,25282047,66.18,Equity Shares,998540,482744163.00,Pledge,Equity,25282047,66.18,11 Jul 2023,11 Jul 2023,13 Jul 2023,Pledge Released,,,,,,,NA,13 Jul 2023
531399,G.G.AUTOMOTIVE GEARS LTD.,BELA GAJRA,Promoter,Equity Shares,197492,2.49,Equity Shares,10000,565000.00,Acquisition,Equity,207492,2.62,30 Jun 2023,30 Jun 2023,12 Jul 2023,Market Purchase,,,,,,,BSE,13 Jul 2023
532221,SONATA SOFTWARE LTD.,Globus Stores Private Limited Acquirer ,Promoter Group,Equity Shares,0,0.00,Equity Shares,1914665,0.00,Acquisition,Equity,1914665,1.37,12 Jul 2023,12 Jul 2023,12 Jul 2023,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jul 2023
533080,Mold-Tek Packaging Limited,Nihira Rani Posemsetty,Promoter Group,Equity Shares,0,0.00,Equity Shares,50000,0.00,Acquisition,Equity,50000,0.15,23 Jun 2023,23 Jun 2023,26 Jun 2023,Gift,,,,,,,NA,13 Jul 2023
543667,Inox Green Energy Services Ltd,Inox Wind Limited,Promoter,Preference Shares,200000000,100.00,Preference Shares,200000000,2000000000.00,Disposal,Preference Shares,0,0.00,06 Jul 2023,06 Jul 2023,11 Jul 2023,Others,,,,,,,NA,13 Jul 2023
532286,JINDAL STEEL & POWER LTD.,Opelina Sustainable Services Private Limited,Promoter Group,Equity Shares,147084173,14.42,Equity Shares,91300393,55711499809.00,Revoke,Equity,147084173,14.42,05 Jul 2023,08 Jul 2023,11 Jul 2023,Revocation Of Pledge,,,,,,,NA,13 Jul 2023
533162,Hathway Cable & Datacom Ltd,Globus Stores Private Limited,Promoter Group,Equity Shares,0,0.00,Equity Shares,38250000,0.00,Acquisition,Equity,38250000,2.16,12 Jul 2023,12 Jul 2023,12 Jul 2023,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,13 Jul 2023
543667,Inox Green Energy Services Ltd,Inox Wind Limited,Promoter,(OCPS)Preference Shares,0,0.00,OCPS Preference Shares,200000000,2000000000.00,Acquisition,-,200000000,100.00,06 Jul 2023,06 Jul 2023,11 Jul 2023,Allotment,,,,,,,NA,13 Jul 2023
530011,MANGALORE CHEMICALS & FERTILIZERS LTD.,ZUARI AGRO CHEMICALS LIMITED,Promoter,Equity Shares,64028362,54.03,Equity Shares,12500000,1355000000.00,Revoke,Equity,64028362,54.03,12 Jul 2023,12 Jul 2023,13 Jul 2023,Pledge Released,,,,,,,NA,13 Jul 2023
532221,SONATA SOFTWARE LTD.,Hemant Kumar Bhardwaj,Designated Person,Equity Shares,0,0.00,Equity Shares,3333,1670866.00,Acquisition,Equity,3333,0.00,11 Jul 2023,11 Jul 2023,12 Jul 2023,ESOP,,,,,,,NSE,13 Jul 2023
508929,Joy Realty Limited,Tarang Devendrakumar Shah,Promoter,Equity Shares,8519,0.35,Equity Shares,79560,3.00,Acquisition,Equity,88079,3.66,07 Jul 2023,07 Jul 2023,10 Jul 2023,Others,,,,,,,NA,13 Jul 2023
500520,MAHINDRA & MAHINDRA LTD.,Sanjay Maruti Jadhav,Designated Person,Equity Shares,14456,0.00,Equity Shares,1304,2048388.00,Acquisition,Equity,15760,0.00,12 Jul 2023,12 Jul 2023,13 Jul 2023,ESOP,,,,,,,NA,13 Jul 2023
508929,Joy Realty Limited,Prit Keyurbhai Mehta,Promoter,Equity Shares,73333,3.05,Equity Shares,259047,11.00,Acquisition,Equity,332380,13.87,07 Jul 2023,07 Jul 2023,10 Jul 2023,Others,,,,,,,NA,13 Jul 2023
500520,MAHINDRA & MAHINDRA LTD.,Bhuwan Lodha,Designated Person,Equity Shares,3000,0.00,Equity Shares,1000,1570850.00,Acquisition,Equity,4000,0.00,12 Jul 2023,12 Jul 2023,13 Jul 2023,ESOP,,,,,,,NA,13 Jul 2023
508929,Joy Realty Limited,Kapil J Kothari,Promoter,Equity Shares,132895,5.53,Equity Shares,755943,2041046.00,Acquisition,Equity,888838,36.98,07 Jul 2023,07 Jul 2023,10 Jul 2023,Others,,,,,,,NA,13 Jul 2023
500520,MAHINDRA & MAHINDRA LTD.,Manish Kumar Gupta,Designated Person,Equity Shares,3092,0.00,Equity Shares,3092,4857068.00,Acquisition,Equity,6184,0.00,12 Jul 2023,12 Jul 2023,13 Jul 2023,ESOP,,,,,,,NA,13 Jul 2023
508929,Joy Realty Limited,Poojan Keyurbhai Mehta,Promoter,Equity Shares,74444,3.10,Equity Shares,311270,13.00,Acquisition,Equity,385714,16.05,07 Jul 2023,07 Jul 2023,10 Jul 2023,Others,,,,,,,NA,13 Jul 2023
500520,MAHINDRA & MAHINDRA LTD.,R Veeraraghavan,Designated Person,Equity Shares,1050,0.00,Equity Shares,1622,2547919.00,Acquisition,Equity,2672,0.00,12 Jul 2023,12 Jul 2023,13 Jul 2023,ESOP,,,,,,,NA,13 Jul 2023
500520,MAHINDRA & MAHINDRA LTD.,Nagaraj Rao,Designated Person,Equity Shares,7687,0.00,Equity Shares,2000,3141700.00,Acquisition,Equity,9687,0.00,12 Jul 2023,12 Jul 2023,13 Jul 2023,ESOP,,,,,,,NA,13 Jul 2023
500259,LYKA LABS LTD.,Nehal Narendra Gandhi,Promoter,Equity Shares,2270582,6.86,Equity Shares,1500,0.00,Revoke,Equity,2272082,6.87,28 Jun 2023,28 Jun 2023,12 Jul 2023,Revocation Of Pledge,,,,,,,NA,12 Jul 2023
531162,EMAMI LTD.-$,DIWAKAR FINVEST PRIVATE LIMITED,Promoter Group,Equity Shares,98667956,22.60,Equity Shares,250000,105275000.00,Revoke,Equity,98667956,22.60,07 Jul 2023,07 Jul 2023,11 Jul 2023,Pledge Released,,,,,,,NA,12 Jul 2023
543737,Aveer Foods Ltd,ANAND CHORDIA,Promoter & Director,Equity Shares,387518,9.62,Equity Shares,427,192126.00,Acquisition,Equity,387945,9.63,22 Jun 2023,22 Jun 2023,12 Jul 2023,Market Purchase,,,,,,,BSE,12 Jul 2023
500520,MAHINDRA & MAHINDRA LTD.,Mahindra & Mahindra Employees’ Stock Option Trust,Other,Equity Shares,45167151,3.63,Equity Shares,40857,195840.00,Disposal,Equity,45126294,3.63,12 Jul 2023,12 Jul 2023,12 Jul 2023,ESOP,,,,,,,NA,12 Jul 2023
500259,LYKA LABS LTD.,Nehal Narendra Gandhi,Promoter,Equity Shares,2265982,6.85,Equity Shares,4600,0.00,Revoke,Equity,2270582,6.86,22 Jun 2023,22 Jun 2023,12 Jul 2023,Revocation Of Pledge,,,,,,,NA,12 Jul 2023
504392,Krishna Ventures Limited,Neeraj Gupta,Director,Equity Shares,2681320,24.83,Equity Shares,283000,3254500.00,Acquisition,Equity,2964320,27.45,07 Jul 2023,07 Jul 2023,10 Jul 2023,Off Market,,,,,,,BSE,12 Jul 2023
543737,Aveer Foods Ltd,RAJKUMAR CHORDIA,Promoter & Director,Equity Shares,1546968,38.40,Equity Shares,500,213000.00,Acquisition,Equity,1547468,38.41,27 Jun 2023,27 Jun 2023,12 Jul 2023,Market Purchase,,,,,,,BSE,12 Jul 2023
500520,MAHINDRA & MAHINDRA LTD.,Neeraj Bhalla,Designated Person,Equity Shares,400,0.00,Equity Shares,2600,4084210.00,Acquisition,Equity,3000,0.00,12 Jul 2023,12 Jul 2023,12 Jul 2023,ESOP,,,,,,,NA,12 Jul 2023
500259,LYKA LABS LTD.,Nehal Narendra Gandhi,Promoter,Equity Shares,2265082,6.85,Equity Shares,900,0.00,Revoke,Equity,2265982,6.85,14 Jun 2023,14 Jun 2023,12 Jul 2023,Revocation Of Pledge,,,,,,,NA,12 Jul 2023
531162,EMAMI LTD.-$,DIWAKAR FINVEST PRIVATE LIMITED,Promoter Group,Equity Shares,98667956,22.60,Equity Shares,400000,170140000.00,Revoke,Equity,98667956,22.60,10 Jul 2023,10 Jul 2023,11 Jul 2023,Pledge Released,,,,,,,NA,12 Jul 2023
543737,Aveer Foods Ltd,RAJKUMAR CHORDIA,Promoter & Director,Equity Shares,1547505,38.42,Equity Shares,265,113071.00,Acquisition,Equity,1547770,38.42,30 Jun 2023,30 Jun 2023,12 Jul 2023,Market Purchase,,,,,,,BSE,12 Jul 2023
500520,MAHINDRA & MAHINDRA LTD.,Lorraine Nair,Designated Person,Equity Shares,2088,0.00,Equity Shares,1080,1696518.00,Acquisition,Equity,3168,0.00,12 Jul 2023,12 Jul 2023,12 Jul 2023,ESOP,,,,,,,NA,12 Jul 2023
500259,LYKA LABS LTD.,Nehal Narendra Gandhi,Promoter,Equity Shares,2272082,6.87,Equity Shares,53000,0.00,Revoke,Equity,2325082,7.03,10 Jul 2023,10 Jul 2023,12 Jul 2023,Revocation Of Pledge,,,,,,,NA,12 Jul 2023
504392,Krishna Ventures Limited,Neeraj Gupta,Director,Equity Shares,2964320,27.45,Equity Shares,400000,4600000.00,Acquisition,Equity,3364320,31.15,10 Jul 2023,10 Jul 2023,10 Jul 2023,Off Market,,,,,,,BSE,12 Jul 2023
543737,Aveer Foods Ltd,RAJKUMAR CHORDIA,Promoter & Director,Equity Shares,1547468,38.41,Equity Shares,37,15244.00,Acquisition,Equity,1547505,38.42,28 Jun 2023,28 Jun 2023,12 Jul 2023,Market Purchase,,,,,,,BSE,12 Jul 2023
532504,Navin Fluorine International Limited-$,Mafatlal Impex Private Limited,Promoter,Equity Shares,11407420,23.01,Equity Shares,1628729,3257458.00,Acquisition,Equity,13036149,26.30,07 Jul 2023,07 Jul 2023,11 Jul 2023,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,12 Jul 2023
543282,Niks Technology Ltd,ANAMIKA ANAND,Promoter Group,Equity Shares,11600,3.19,Equity Shares,3600,871500.00,Disposal,Equity,8000,2.20,07 Jul 2023,10 Jul 2023,11 Jul 2023,Market Sale,,,,,,,BSE,12 Jul 2023
532504,Navin Fluorine International Limited-$,Mafatlal Impex Private Limited,Promoter,Equity Shares,13036149,26.30,Equity Shares,450000,900000.00,Pledge,Equity,13036149,26.30,07 Jul 2023,07 Jul 2023,11 Jul 2023,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,12 Jul 2023
540696,KCD Industries India Ltd,Rajiv Darji,Promoter & Director,Equity Shares,5287080,52.87,Equity Shares,4111111,18500000.00,Acquisition,Equity,9398191,25.30,08 Jul 2023,08 Jul 2023,11 Jul 2023,Allotment,,,,,,,BSE,12 Jul 2023
531162,EMAMI LTD.-$,VINOD N RAO,Employee,Equity Shares,3250,0.00,Equity Shares,3250,136906.00,Disposal,Equity,0,0.00,30 Jun 2023,30 Jun 2023,10 Jul 2023,Market Sale,,,,,,,BSE,12 Jul 2023
532286,JINDAL STEEL & POWER LTD.,SBICAP Trustee Company Limited,Connected Person,Equity Shares,0,0.00,Equity Shares,91300393,91300393.00,Revoke,Equity,0,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,Pledge Released,,,,,,,NA,11 Jul 2023
540696,KCD Industries India Ltd,Rajiv Darji,Promoter & Director,Equity Shares,4871080,48.71,Equity Shares,416000,9995107.00,Acquisition,Equity,5287080,52.87,07 Jul 2023,07 Jul 2023,08 Jul 2023,Market Purchase,,,,,,,BSE,11 Jul 2023
543714,Landmark Cars Ltd,Ashok Joshi,Designated Person,Equity Shares,5000,0.00,Equity Shares,8314,970660.00,Acquisition,Equity,13314,0.00,07 Jul 2023,07 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
500520,MAHINDRA & MAHINDRA LTD.,Himanshu Aggarwal,Designated Person,Equity Shares,4949,0.00,Equity Shares,500,700000.00,Disposal,Equity,4449,0.00,15 Jun 2023,15 Jun 2023,11 Jul 2023,Market Sale,,,,,,,NSE,11 Jul 2023
543714,Landmark Cars Ltd,Kapil Asnani,Designated Person,Equity Shares,250,0.00,Equity Shares,3750,916875.00,Acquisition,Equity,4000,0.00,07 Jul 2023,07 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
500520,MAHINDRA & MAHINDRA LTD.,Himanshu Aggarwal,Designated Person,Equity Shares,5449,0.00,Equity Shares,500,690026.00,Disposal,Equity,4949,0.00,14 Jun 2023,14 Jun 2023,11 Jul 2023,Market Sale,,,,,,,NSE,11 Jul 2023
540691,Aditya Birla Capital Ltd,Makesh Chandramohan,Designated Person,Equity Shares,11500,0.00,Equity Shares,10640,1223600.00,Acquisition,Equity,22140,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
500520,MAHINDRA & MAHINDRA LTD.,Himanshu Aggarwal,Designated Person,Equity Shares,2949,0.00,Equity Shares,2949,4218679.00,Disposal,Equity,0,0.00,30 Jun 2023,30 Jun 2023,11 Jul 2023,Market Sale,,,,,,,NSE,11 Jul 2023
540691,Aditya Birla Capital Ltd,Rakesh Singh,Designated Person,Equity Shares,190851,0.00,Equity Shares,399680,45963200.00,Acquisition,Equity,590531,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
500520,MAHINDRA & MAHINDRA LTD.,Himanshu Aggarwal,Designated Person,Equity Shares,4449,0.00,Equity Shares,500,707500.00,Disposal,Equity,3949,0.00,19 Jun 2023,19 Jun 2023,11 Jul 2023,Market Sale,,,,,,,NSE,11 Jul 2023
540691,Aditya Birla Capital Ltd,Hirak Bhattacharjee,Designated Person,Equity Shares,750,0.00,Equity Shares,10320,1186800.00,Acquisition,Equity,11070,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
500520,MAHINDRA & MAHINDRA LTD.,Himanshu Aggarwal,Designated Person,Equity Shares,3949,0.00,Equity Shares,500,708000.00,Disposal,Equity,3449,0.00,27 Jun 2023,27 Jun 2023,11 Jul 2023,Market Sale,,,,,,,NSE,11 Jul 2023
540691,Aditya Birla Capital Ltd,Krishna MVS,Designated Person,Equity Shares,1500,0.00,Equity Shares,9484,1090660.00,Acquisition,Equity,10984,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
500520,MAHINDRA & MAHINDRA LTD.,Himanshu Aggarwal,Designated Person,Equity Shares,3449,0.00,Equity Shares,500,705000.00,Disposal,Equity,2949,0.00,28 Jun 2023,28 Jun 2023,11 Jul 2023,Market Sale,,,,,,,NSE,11 Jul 2023
540691,Aditya Birla Capital Ltd,Sanjit Pratap Singh,Designated Person,Equity Shares,0,0.00,Equity Shares,30960,3560400.00,Acquisition,Equity,30960,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
542484,Arvind Fashions Ltd,Nitesh Kumar Kanchan,Designated Person,Equity Shares,5500,0.00,Equity Shares,400,139785.00,Disposal,Equity,5100,0.00,28 Jun 2023,30 Jun 2023,10 Jul 2023,Market Sale,,,,,,,NSE,11 Jul 2023
540691,Aditya Birla Capital Ltd,Tushar Jain,Designated Person,Equity Shares,1500,0.00,Equity Shares,28896,3323040.00,Acquisition,Equity,30396,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
543282,Niks Technology Ltd,ANAMIKA ANAND,Promoter Group,Equity Shares,12800,3.52,Equity Shares,1200,276000.00,Disposal,Equity,11600,3.19,07 Jul 2023,07 Jul 2023,10 Jul 2023,Market Sale,,,,,,,BSE,11 Jul 2023
540691,Aditya Birla Capital Ltd,Shobha Ratna,Designated Person,Equity Shares,2500,0.00,Equity Shares,25800,2967000.00,Acquisition,Equity,28300,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
543714,Landmark Cars Ltd,Garima Misra,Designated Person,Equity Shares,892198,2.22,Equity Shares,20000,14973885.00,Disposal,Equity,872198,2.17,30 Jun 2023,30 Jun 2023,10 Jul 2023,Market Sale,,,,,,,NSE,11 Jul 2023
540691,Aditya Birla Capital Ltd,Sunaina Da Cunha,Designated Person,Equity Shares,1500,0.00,Equity Shares,15002,1725230.00,Acquisition,Equity,16502,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
543714,Landmark Cars Ltd,Rishit Panchal Revised ,Employees Immediate Relative,Equity Shares,377,0.00,Equity Shares,377,272530.00,Disposal,Equity,0,0.00,23 Jun 2023,23 Jun 2023,04 Jul 2023,Market Sale,,,,,,,NSE,11 Jul 2023
540691,Aditya Birla Capital Ltd,Subhro Bhaduri,Designated Person,Equity Shares,79362,0.00,Equity Shares,223000,25645000.00,Acquisition,Equity,302362,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
530589,PRIMA PLASTICS LTD.,Bhaskar M. Parekh,Promoter,Equity Shares,2551610,23.20,Equity Shares,18600,2767680.00,Acquisition,Equity,2570210,23.36,10 Jul 2023,10 Jul 2023,11 Jul 2023,Inheritance,,,,,,,NA,11 Jul 2023
540691,Aditya Birla Capital Ltd,Tushar Shah,Designated Person,Equity Shares,371081,0.00,Equity Shares,110000,12650000.00,Acquisition,Equity,481081,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
543714,Landmark Cars Ltd,Bharti Panchal Revised ,Employees Immediate Relative,Equity Shares,377,0.00,Equity Shares,377,272530.00,Disposal,Equity,0,0.00,23 Jun 2023,23 Jun 2023,04 Jul 2023,Market Sale,,,,,,,NSE,11 Jul 2023
540691,Aditya Birla Capital Ltd,Ajay Kumar Singh,Designated Person,Equity Shares,11820,0.00,Equity Shares,30960,3560400.00,Acquisition,Equity,42780,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
540691,Aditya Birla Capital Ltd,Bhavdeep Bhatt,Designated Person,Equity Shares,1500,0.00,Equity Shares,61920,7120800.00,Acquisition,Equity,63420,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
540691,Aditya Birla Capital Ltd,Sidharth Damani,Designated Person,Equity Shares,0,0.00,Equity Shares,63420,7135800.00,Acquisition,Equity,63420,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
540691,Aditya Birla Capital Ltd,Abhishek Singhal,Designated Person,Equity Shares,1500,0.00,Equity Shares,5160,593400.00,Acquisition,Equity,6660,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
540691,Aditya Birla Capital Ltd,Anil Shyam,Designated Person,Equity Shares,0,0.00,Equity Shares,63420,7135800.00,Acquisition,Equity,63420,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
540691,Aditya Birla Capital Ltd,Deepak Gupta,Designated Person,Equity Shares,0,0.00,Equity Shares,22140,2388600.00,Acquisition,Equity,22140,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
540691,Aditya Birla Capital Ltd,K S Rao,Designated Person,Equity Shares,20724,0.00,Equity Shares,7500,862500.00,Acquisition,Equity,28224,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
540691,Aditya Birla Capital Ltd,Pawan Joseph,Designated Person,Equity Shares,0,0.00,Equity Shares,29646,3330540.00,Acquisition,Equity,29646,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
540691,Aditya Birla Capital Ltd,A Dhananjaya,Designated Person,Equity Shares,236877,0.00,Equity Shares,72998,8394770.00,Acquisition,Equity,309875,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
540691,Aditya Birla Capital Ltd,Amit Purohit,Designated Person,Equity Shares,0,0.00,Equity Shares,14448,125769.00,Acquisition,Equity,14448,0.00,05 Jul 2023,05 Jul 2023,07 Jul 2023,ESOP,,,,,,,NA,11 Jul 2023
540083,TV Vision Ltd,Sri Adhikari Brothers Assets Holding Private Limited,Promoter Group,Equity Shares,1800000,4.90,Equity Shares,2000000,20000000.00,Acquisition,Equity,3800000,9.81,06 Jul 2023,06 Jul 2023,07 Jul 2023,Allotment,,,,,,,NA,10 Jul 2023
524602,Bandaram Pharma Packtech Ltd,M Seetharama Reddy,Promoter,Equity Shares,112500,3.75,Equity Shares,0,0.00,Acquisition,Equity,112500,3.75,06 Jul 2023,06 Jul 2023,10 Jul 2023,Others,,,,,,,NA,10 Jul 2023
530589,PRIMA PLASTICS LTD.,Dilip M. Parekh,Promoter,Equity Shares,2615420,23.78,Equity Shares,467810,72206474.00,Acquisition,Equity,3083230,28.03,23 Jun 2023,26 Jun 2023,26 Jun 2023,Inheritance,,,,,,,NA,10 Jul 2023
543318,Clean Science and Technology Ltd,Krishnakumar S Saboo,Designated Person,Equity Shares,3576,0.00,Equity Shares,2088,2869956.00,Acquisition,Equity,5664,0.00,06 Jul 2023,06 Jul 2023,08 Jul 2023,ESOP,,,,,,,NA,10 Jul 2023
543372,Getalong Enterprise Ltd,Westpac Investments Pvt. Ltd.,Promoter,Equity Shares,618000,33.80,Equity Shares,2000,340000.00,Acquisition,Equity,620000,33.91,10 Jul 2023,10 Jul 2023,10 Jul 2023,Market Purchase,,,,,,,BSE,10 Jul 2023
524731,JENBURKT PHARMACEUTICALS LTD.,MAHESH H BHUTA,Promoter Group,Equity Shares,71874,1.63,Equity Shares,2500,0.00,Acquisition,Equity,74374,1.67,05 Jul 2023,05 Jul 2023,10 Jul 2023,Off Market,,,,,,,NA,10 Jul 2023
502168,NCL INDUSTRIES LTD.-$,K Ravi,Director,Equity Shares,2445503,5.51,Equity Shares,13500,2500000.00,Acquisition,Equity,2459003,5.44,10 Jul 2023,10 Jul 2023,10 Jul 2023,Inter-se Transfer,,,,,,,NA,10 Jul 2023
543318,Clean Science and Technology Ltd,Kothanda Rama Lakshmanan Pachaandi,Designated Person,Equity Shares,1333,0.00,Equity Shares,967,1329142.00,Acquisition,Equity,2300,0.00,06 Jul 2023,06 Jul 2023,08 Jul 2023,ESOP,,,,,,,NA,10 Jul 2023
533104,GLOBUS SPIRITS LTD.,Madhavi Swarup,Promoter Group,Equity Shares,2629993,9.13,Equity Shares,2629993,0.00,Disposal,Equity,0,0.00,07 Jul 2023,07 Jul 2023,10 Jul 2023,Inter-se Transfer,,,,,,,NA,10 Jul 2023
524731,JENBURKT PHARMACEUTICALS LTD.,MAHESH H BHUTA,Promoter Group,Equity Shares,74374,1.67,Equity Shares,2500,0.00,Disposal,Equity,71874,1.63,05 Jul 2023,05 Jul 2023,10 Jul 2023,Off Market,,,,,,,NA,10 Jul 2023
533104,GLOBUS SPIRITS LTD.,Madhavi Swarup & Ajay Kumar Swarup Trustees representing on behalf of M/s Yamuna Family Trust ,Promoter Group,Equity Shares,0,0.00,Equity Shares,2629993,0.00,Acquisition,Equity,2629993,9.13,07 Jul 2023,07 Jul 2023,10 Jul 2023,Inter-se Transfer,,,,,,,NA,10 Jul 2023
543318,Clean Science and Technology Ltd,Warekar Dilip Hindurao,Designated Person,Equity Shares,9,0.00,Equity Shares,919,1263166.00,Acquisition,Equity,928,0.00,06 Jul 2023,06 Jul 2023,08 Jul 2023,ESOP,,,,,,,NA,10 Jul 2023
533581,PG ELECTROPLAST LTD.,PG Electroplast Limited Employees Welfare Trust,Trust,Equity Shares,48800,0.21,Equity Shares,2945,4507613.00,Disposal,Equity,45855,0.20,04 Jul 2023,06 Jul 2023,06 Jul 2023,Market Sale,,,,,,,NSE,10 Jul 2023
524602,Bandaram Pharma Packtech Ltd,B. Premsai Reddy,Promoter & Director,Any other instrument,0,0.00,Any other instrument,1350000,0.00,Acquisition,-,1350000,0.00,06 Jul 2023,06 Jul 2023,10 Jul 2023,Others,,,,,,,NA,10 Jul 2023
502168,NCL INDUSTRIES LTD.-$,Vikram ChemicalsP  Ltd,Promoter Group,Equity Shares,13500,0.03,Equity Shares,13500,2500000.00,Disposal,Equity,0,0.00,10 Jul 2023,10 Jul 2023,10 Jul 2023,Inter-se Transfer,,,,,,,NA,10 Jul 2023
500331,PIDILITE INDUSTRIES LTD.,Bharat Puri,KMP,Equity Shares,427500,0.08,Equity Shares,110000,110000.00,Acquisition,Equity,537500,0.11,10 Jul 2023,10 Jul 2023,10 Jul 2023,ESOP,,,,,,,NA,10 Jul 2023
532686,KERNEX MICROSYSTEMS (INDIA) LTD.,Enact Technologies Private Limited,Other,Equity Shares,90000,0.57,Equity Shares,10000,0.00,Disposal,Equity,80000,0.51,26 Jun 2023,06 Jul 2023,07 Jul 2023,Market Sale,,,,,,,NSE,10 Jul 2023
524602,Bandaram Pharma Packtech Ltd,B Sathyavathi,Promoter & Director,Any other instrument,0,0.00,Any other instrument,1350000,0.00,Acquisition,-,1350000,0.00,06 Jul 2023,06 Jul 2023,10 Jul 2023,Others,,,,,,,NA,10 Jul 2023
524731,JENBURKT PHARMACEUTICALS LTD.,MAHESH H BHUTA,Promoter Group,Equity Shares,74374,1.67,Equity Shares,1000,716052.00,Disposal,Equity,73374,1.66,07 Jul 2023,07 Jul 2023,10 Jul 2023,Market Sale,,,,,,,BSE,10 Jul 2023
524602,Bandaram Pharma Packtech Ltd,L. Lalanthika,Promoter,Any other instrument,0,0.00,Any other instrument,337500,0.00,Acquisition,-,337500,0.00,06 Jul 2023,06 Jul 2023,10 Jul 2023,Others,,,,,,,NA,10 Jul 2023
524602,Bandaram Pharma Packtech Ltd,M. Sukumari,Promoter,Equity Shares,112500,3.75,Equity Shares,0,0.00,Acquisition,Equity,112500,3.75,06 Jul 2023,06 Jul 2023,10 Jul 2023,Others,,,,,,,NA,10 Jul 2023
524602,Bandaram Pharma Packtech Ltd,L. Lalanthika,Promoter,Equity Shares,112500,3.75,Equity Shares,0,0.00,Acquisition,Equity,112500,3.75,06 Jul 2023,06 Jul 2023,10 Jul 2023,Others,,,,,,,NA,10 Jul 2023
524602,Bandaram Pharma Packtech Ltd,M Seetharama Reddy,Promoter,Any other instrument,0,0.00,Any other instrument,337500,0.00,Acquisition,-,337500,0.00,06 Jul 2023,06 Jul 2023,10 Jul 2023,Others,,,,,,,NA,10 Jul 2023
500270,BARODA RAYON CORPORATION LTD.,Indreni Holdings Pvt. Ltd.,Promoter Group,Equity Shares,38377,0.17,Equity Shares,38377,230262.00,Disposal,Equity,0,0.00,06 Jul 2023,06 Jul 2023,08 Jul 2023,Off Market,,,,,,,NA,10 Jul 2023
